"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",13.2877123795494,0,0
"big","noDet",1.67252451353316,0.0631114480312884,0.0608522765743973
"big","num",0.632924580570447,0.0323777239772181,0.0310363179151638
"big","other",9.08104402354088,1.90737073934755,2.29815721241325
"big","some",5.09968973263582,0.277412030461048,0.253566453437753
"small","all",13.2877123795494,0,0
"small","noDet",1.68693636755886,0.0799941002723161,0.0831735456789775
"small","num",0.600413277842293,0.044867837497471,0.0493769094025471
"small","other",10.3563130242657,1.99877198680916,1.82648253915082
"small","some",6.211770921192,0.966756098196521,1.43947603608774
