"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",13.2877123795494,0,0
"big","noDet",1.67252451353316,0.0688611404045623,0.0586012544932586
"big","num",0.632924580570447,0.0324543863047062,0.0336106493909129
"big","other",9.08104402354088,1.89796479275864,2.00661501300005
"big","some",5.09968973263582,0.254873923393953,0.264465683543323
"small","all",13.2877123795494,0,0
"small","noDet",1.68693636755886,0.0754567844312244,0.0782095520316244
"small","num",0.600413277842293,0.0431430783231049,0.0449859771522898
"small","other",10.3563130242657,1.83310540385774,1.82648253915082
"small","some",6.211770921192,0.891750449013408,1.43594069199674
