"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",19.4361520994917,0.316576010243484,0.259630554388465
"big","some",5.09969284488219,0.251233188569221,0.257179711711964
"big","num",0.632927692816822,0.0338799988224714,0.0312427422945375
"big","noDet",1.67252762577954,0.0716508708307193,0.0589940452156088
"big","other",11.6016532114212,3.48020237191703,3.40774080102593
"small","all",19.4482131680489,0.246445835578392,0.248874001098063
"small","some",6.68447682012859,1.36087606088874,2.4622980872998
"small","num",0.600417064947919,0.0438404825642053,0.0481608745093457
"small","noDet",1.68694015466448,0.0810372948695963,0.0816041768937017
"small","other",13.8283330099033,4.09598402364651,3.3255725177133
