"cond","pragContext","window","Region","trialType","quarter","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","competitor","test",2,"big","ball",1,0,0,0,0.256235827664399
"contrast","unreliable","adjective","other","test",2,"big","ball",1,0,0,0,0.272108843537415
"contrast","unreliable","adjective","target","test",2,"big","ballerina",1,0.75,0.25,1,0.458553791887125
"contrast","unreliable","adjective","competitor","test",2,"big","ballerina",1,0.25,0,0.75,0.215167548500882
"contrast","unreliable","adjective","other","test",2,"big","ballerina",1,0,0,0,0.326278659611993
"contrast","unreliable","adjective","target","test",2,"big","corn",1,0.5,0,1,0.30952380952381
"contrast","unreliable","adjective","competitor","test",2,"big","corn",1,0.5,0,1,0.349206349206349
"contrast","unreliable","adjective","other","test",2,"big","corn",1,0,0,0,0.341269841269841
"contrast","unreliable","adjective","target","test",2,"big","dog",1,1,1,1,0.39047619047619
"contrast","unreliable","adjective","competitor","test",2,"big","dog",1,0,0,0,0.292063492063492
"contrast","unreliable","adjective","other","test",2,"big","dog",1,0,0,0,0.317460317460317
"contrast","unreliable","adjective","target","test",2,"big","hat",1,0.6,0.3,0.9,0.417233560090703
"contrast","unreliable","adjective","competitor","test",2,"big","hat",1,0.2,0,0.5,0.272108843537415
"contrast","unreliable","adjective","other","test",2,"big","hat",1,0.2,0,0.5,0.310657596371882
"contrast","unreliable","adjective","target","test",2,"big","lock",1,1,1,1,0.496392496392496
"contrast","unreliable","adjective","competitor","test",2,"big","lock",1,0,0,0,0.0822510822510823
"contrast","unreliable","adjective","other","test",2,"big","lock",1,0,0,0,0.421356421356421
"contrast","unreliable","adjective","target","test",2,"big","pear",1,0.666666666666667,0,1,0.46384479717813
"contrast","unreliable","adjective","competitor","test",2,"big","pear",1,0.333333333333333,0,1,0.349206349206349
"contrast","unreliable","adjective","other","test",2,"big","pear",1,0,0,0,0.18694885361552
"contrast","unreliable","adjective","target","test",2,"big","pickle",1,1,1,1,0.379188712522046
"contrast","unreliable","adjective","competitor","test",2,"big","pickle",1,0,0,0,0.358024691358025
"contrast","unreliable","adjective","other","test",2,"big","pickle",1,0,0,0,0.262786596119929
"contrast","unreliable","adjective","target","test",2,"big","plant",1,0.857142857142857,0.571428571428571,1,0.391534391534392
"contrast","unreliable","adjective","competitor","test",2,"big","plant",1,0.142857142857143,0,0.428571428571429,0.291005291005291
"contrast","unreliable","adjective","other","test",2,"big","plant",1,0,0,0,0.317460317460317
"contrast","unreliable","adjective","target","test",2,"big","ribbon",1,1,1,1,0.638888888888889
"contrast","unreliable","adjective","competitor","test",2,"big","ribbon",1,0,0,0,0.236111111111111
"contrast","unreliable","adjective","other","test",2,"big","ribbon",1,0,0,0,0.125
"contrast","unreliable","adjective","target","test",2,"small","backpack",1,1,1,1,0.171957671957672
"contrast","unreliable","adjective","competitor","test",2,"small","backpack",1,0,0,0,0.314814814814815
"contrast","unreliable","adjective","other","test",2,"small","backpack",1,0,0,0,0.513227513227513
"contrast","unreliable","adjective","target","test",2,"small","bird",1,1,1,1,0.206349206349206
"contrast","unreliable","adjective","competitor","test",2,"small","bird",1,0,0,0,0.160714285714286
"contrast","unreliable","adjective","other","test",2,"small","bird",1,0,0,0,0.632936507936508
"contrast","unreliable","adjective","target","test",2,"small","bottle",1,1,1,1,0.474206349206349
