"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","other","test","small","lobster",1,0.111111111111111,0,0.277777777777778,0.491062562065541
"contrast","unreliable","adjective","target","test","small","monkey",1,0.888888888888889,0.722222222222222,1,0.256857855361596
"contrast","unreliable","adjective","competitor","test","small","monkey",1,0.0555555555555556,0,0.166666666666667,0.290773067331671
"contrast","unreliable","adjective","other","test","small","monkey",1,0.0555555555555556,0,0.166666666666667,0.452369077306733
"contrast","unreliable","noun","target","test","big","ball",1,1,1,1,0.512661789532921
"contrast","unreliable","noun","competitor","test","big","ball",1,0,0,0,0.032076533483399
"contrast","unreliable","noun","other","test","big","ball",1,0,0,0,0.45526167698368
"contrast","unreliable","noun","target","test","big","ballerina",1,1,1,1,0.689809630459127
"contrast","unreliable","noun","competitor","test","big","ballerina",1,0,0,0,0.108062709966405
"contrast","unreliable","noun","other","test","big","ballerina",1,0,0,0,0.202127659574468
"contrast","unreliable","noun","target","test","big","corn",1,1,1,1,0.650874224478285
"contrast","unreliable","noun","competitor","test","big","corn",1,0,0,0,0.140439932318105
"contrast","unreliable","noun","other","test","big","corn",1,0,0,0,0.20868584320361
"contrast","unreliable","noun","target","test","big","dog",1,1,1,1,0.734120292299044
"contrast","unreliable","noun","competitor","test","big","dog",1,0,0,0,0.0708263069139966
"contrast","unreliable","noun","other","test","big","dog",1,0,0,0,0.195053400786959
"contrast","unreliable","noun","target","test","big","hat",1,1,1,1,0.70372460496614
"contrast","unreliable","noun","competitor","test","big","hat",1,0,0,0,0.132618510158014
"contrast","unreliable","noun","other","test","big","hat",1,0,0,0,0.163656884875847
"contrast","unreliable","noun","target","test","big","lock",1,1,1,1,0.7421875
"contrast","unreliable","noun","competitor","test","big","lock",1,0,0,0,0.0786830357142857
"contrast","unreliable","noun","other","test","big","lock",1,0,0,0,0.179129464285714
"contrast","unreliable","noun","target","test","big","pear",1,1,1,1,0.647879464285714
"contrast","unreliable","noun","competitor","test","big","pear",1,0,0,0,0.109933035714286
"contrast","unreliable","noun","other","test","big","pear",1,0,0,0,0.2421875
"contrast","unreliable","noun","target","test","big","pickle",1,1,1,1,0.873325892857143
"contrast","unreliable","noun","competitor","test","big","pickle",1,0,0,0,0.0535714285714286
"contrast","unreliable","noun","other","test","big","pickle",1,0,0,0,0.0731026785714286
"contrast","unreliable","noun","target","test","big","plant",1,1,1,1,0.587053571428571
"contrast","unreliable","noun","competitor","test","big","plant",1,0,0,0,0.171316964285714
"contrast","unreliable","noun","other","test","big","plant",1,0,0,0,0.241629464285714
"contrast","unreliable","noun","target","test","big","ribbon",1,1,1,1,0.693638392857143
"contrast","unreliable","noun","competitor","test","big","ribbon",1,0,0,0,0.134486607142857
"contrast","unreliable","noun","other","test","big","ribbon",1,0,0,0,0.171875
