"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",2.67774060765289,0.245396715648425,0.291555857753353
"big","some",3.96501311279631,0.283299256067381,0.29447143794382
"big","noDet",2.4563017499122,0.0845589930623536,0.0830357372846886
"big","num",0.854500451406014,0.0604709720248777,0.0559119689135491
"big","other",6.30299496417887,1.49558252648062,1.68549144502342
"small","all",3.2082093719508,0.240743140847158,0.251795872782309
"small","some",4.45722204675835,0.425005348147463,0.432957305191827
"small","noDet",2.53688960432344,0.118687963928849,0.122216723589353
"small","num",0.67246532996636,0.0622449944073646,0.0626824867147605
"small","other",5.73959499313204,1.01078718836254,1.5582239458009
