"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",13.2877123795494,0,0
"big","noDet",1.67252451353316,0.0647061687179793,0.0597551930893638
"big","num",0.632924580570447,0.0332424583674149,0.0312985634251229
"big","other",9.08104402354088,1.90985791806654,2.00193776752125
"big","some",5.09968973263582,0.263321779902939,0.264749677924024
"small","all",13.2877123795494,0,0
"small","noDet",1.68693636755886,0.0813495080268656,0.0784576240683483
"small","num",0.600413277842293,0.045232993686192,0.0428874229230326
"small","other",10.3563130242657,1.91837087447909,1.82648253915082
"small","some",6.211770921192,0.89425761212096,1.35376343721138
