WorkerId,Input.List,SceneID,Description,RefType,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,FirstWord,TargetModificationType,ExactMatch,InitialMatch,MorphemeIncluded,SynFirst,SynIncluded
69,TlessC1,1,round leggo,2,Contrast,square,bumpy,blue,Min,round,0,0,0,0,0,0
70,TlessC1,1,number 6,2,Contrast,square,bumpy,blue,Min,number,0,0,0,0,0,0
71,TlessC1,1,circle with dots,2,Contrast,square,bumpy,blue,Min,circle,0,0,0,0,0,0
1,TlessC1,2,arc,1,NoContrast,circle,open,blue,Min,arc,0,0,0,0,0,0
6,TlessC1,2,semi circle,1,NoContrast,circle,open,blue,Min,semi,0,0,0,0,0,0
9,TlessC1,2,near circle,1,NoContrast,circle,open,blue,Min,near,0,0,0,0,0,0
11,TlessC1,2,curved line,1,NoContrast,circle,open,blue,Min,curved,0,0,0,0,0,0
12,TlessC1,2,semi-circle,1,NoContrast,circle,open,blue,Min,semi-circle,0,0,0,0,0,0
25,TlessC1,2,partial circle,1,NoContrast,circle,open,blue,Min,partial,0,0,0,0,0,0
26,TlessC1,2,curve,1,NoContrast,circle,open,blue,Min,curve,0,0,0,0,0,0
29,TlessC1,2,incomplete circle,1,NoContrast,circle,open,blue,Min,incomplete,0,0,0,0,0,0
31,TlessC1,2,arc,1,NoContrast,circle,open,blue,Min,arc,0,0,0,0,0,0
32,TlessC1,2,semicircle,1,NoContrast,circle,open,blue,Min,semicircle,0,0,0,0,0,0
36,TlessC1,2,half circle,1,NoContrast,circle,open,blue,Min,half,0,0,0,0,0,0
37,TlessC1,2,3/4 circle,1,NoContrast,circle,open,blue,Min,3/4,0,0,0,0,0,0
38,TlessC1,2,semi circle,1,NoContrast,circle,open,blue,Min,semi,0,0,0,0,0,0
39,TlessC1,2,almost circle,1,NoContrast,circle,open,blue,Min,almost,0,0,0,0,0,0
40,TlessC1,2,semi-circle,1,NoContrast,circle,open,blue,Min,semi-circle,0,0,0,0,0,0
43,TlessC1,2,open circle,1,NoContrast,circle,open,blue,Min,open,1,1,1,1,1,1
45,TlessC1,2,u,1,NoContrast,circle,open,blue,Min,u,0,0,0,0,0,0
46,TlessC1,2,semi circle,1,NoContrast,circle,open,blue,Min,semi,0,0,0,0,0,0
