"Input.List","SceneID","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType","ExactFirstWordUniPrior","InitialMatchUniPrior","MorphemeIncludedUniPrior","SynFirstUniPrior","SynIncludedUniPrior","ExactFirstWordEmpPrior","InitialMatchEmpPrior","MorphemeIncludedEmpPrior","SynFirstEmpPrior","SynIncludedEmpPrior"
"TlessC1",1,"Contrast","square","bumpy","blue","Min",0.0175438596491228,0.0175438596491228,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0193548387096774,0.0193548387096774,0.0290322580645161,0.0290322580645161,0.0290322580645161
"TlessC1",2,"NoContrast","circle","open","blue","Min",0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.023448275862069,0.023448275862069,0.023448275862069,0.023448275862069,0.023448275862069
"TlessC1",3,"Contrast","line","bent","green","Min",0.131578947368421,0.131578947368421,0.140350877192982,0.140350877192982,0.149122807017544,0.0711111111111111,0.0711111111111111,0.0764444444444444,0.0755555555555556,0.0808888888888889
"TlessC1",4,"NoContrast","line","curved","red","Min",0.175438596491228,0.201754385964912,0.201754385964912,0.298245614035088,0.307017543859649,0.125862068965517,0.143448275862069,0.143448275862069,0.201034482758621,0.206034482758621
"TlessC1",5,"Contrast","circle","spotted","yellow","Min",0.043859649122807,0.043859649122807,0.0526315789473684,0.166666666666667,0.271929824561404,0.0379310344827586,0.0379310344827586,0.0472167487684729,0.145837438423645,0.243669950738916
"TlessC1",6,"NoContrast","square","striped","yellow","Min",0.00877192982456143,0.00877192982456143,0.0175438596491228,0.00877192982456143,0.0175438596491228,0.0126666666666667,0.0126666666666667,0.0253333333333333,0.0126666666666667,0.0253333333333333
"TlessC1",7,"Contrast","triangle","bumpy","red","Min",0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0140540540540541,0.0140540540540541,0.0140540540540541,0.0140540540540541,0.0140540540540541
"TlessC1",8,"NoContrast","line","curved","blue","Min",0.149122807017544,0.184210526315789,0.192982456140351,0.254385964912281,0.271929824561404,0.115880893300248,0.141687344913151,0.148138957816377,0.19454094292804,0.207444168734491
"TlessC1",9,"Contrast","square","spotted","yellow","Min",0.0175438596491228,0.0175438596491228,0.0263157894736842,0.0789473684210527,0.175438596491228,0.0228571428571429,0.0228571428571429,0.0342857142857143,0.102857142857143,0.209285714285714
"TlessC1",10,"NoContrast","triangle","striped","red","Min",0.00877192982456143,0.00877192982456143,0.0263157894736842,0.00877192982456143,0.0263157894736842,0.0103448275862069,0.0103448275862069,0.0310344827586207,0.0103448275862069,0.0310344827586207
"TlessC1",11,"Contrast","cirlce","flat","green","Max",0,0,0,0,0,0,0,0,0,0
"TlessC1",12,"NoContrast","cirlce","closed","green","Max",0,0,0,0,0,0,0,0,0,0
"TlessC1",13,"Contrast","line","straight","blue","Max",0.00877192982456143,0.043859649122807,0.0526315789473684,0.043859649122807,0.0526315789473684,0.00962962962962964,0.0481481481481482,0.0577777777777778,0.0481481481481482,0.0577777777777778
"TlessC1",14,"NoContrast","cube","full","yellow","Max",0,0,0,0,0.00877192982456143,0,0,0,0,0.0125
"TlessC1",15,"Contrast","cube","empty ","transparent","Max",0.0175438596491228,0.043859649122807,0.12280701754386,0.043859649122807,0.12280701754386,0.0215880893300248,0.0448138957816377,0.114491315136476,0.0448138957816377,0.114491315136476
"TlessC1",16,"NoContrast","triangle","flat","yellow","Max",0,0,0.00877192982456143,0,0.00877192982456143,0,0,0.0103030303030303,0,0.0103030303030303
"TlessC1",17,"Contrast","circle","closed","blue","Max",0,0,0.00877192982456143,0,0.00877192982456143,0,0,0.00642857142857143,0,0.00642857142857143
"TlessC1",18,"NoContrast","line","straight","red","Max",0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667
"TlessC1",19,"Contrast","cylinder","full","blue","Max",0.0526315789473684,0.105263157894737,0.175438596491228,0.114035087719298,0.219298245614035,0.0622222222222222,0.124444444444444,0.207407407407407,0.134814814814815,0.259259259259259
"TlessC1",20,"NoContrast","cylinder","empty ","transparent","Max",0.00877192982456143,0.00877192982456143,0.0175438596491228,0.00877192982456143,0.0175438596491228,0.0114285714285714,0.0114285714285714,0.0210837438423645,0.0114285714285714,0.0210837438423645
"TlessC1",21,"Contrast","line","long","red","Rel",0.0701754385964912,0.201754385964912,0.210526315789474,0.201754385964912,0.210526315789474,0.0331034482758621,0.0951724137931035,0.0993103448275862,0.0951724137931035,0.0993103448275862
"TlessC1",22,"NoContrast","line","short ","blue","Rel",0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00434782608695652,0.00434782608695652,0.00434782608695652,0.00434782608695652,0.00434782608695652
"TlessC1",23,"Contrast","square","big","red","Rel",0.0526315789473684,0.131578947368421,0.140350877192982,0.236842105263158,0.245614035087719,0.0436363636363636,0.109090909090909,0.116363636363636,0.196363636363636,0.203636363636364
"TlessC1",24,"NoContrast","triangle","small","yellow","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC1",25,"Contrast","oval","wide","green","Rel",0.0175438596491228,0.0526315789473684,0.0526315789473684,0.114035087719298,0.114035087719298,0.0220689655172414,0.0662068965517241,0.0662068965517241,0.143448275862069,0.143448275862069
"TlessC1",26,"NoContrast","rectangle","narrow","red","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC1",27,"Contrast","spiral","tall","blue","Rel",0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00857142857142857,0.00857142857142857,0.00857142857142857,0.00857142857142857,0.00857142857142857
"TlessC1",28,"NoContrast","spiral","short","red","Rel",0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.00642857142857143,0.00642857142857143,0.00642857142857143,0.00642857142857143,0.00642857142857143
"TlessC1",29,"Contrast","line","thick","yellow","Rel",0.0964912280701755,0.184210526315789,0.192982456140351,0.210526315789474,0.219298245614035,0.055,0.106206896551724,0.111206896551724,0.121206896551724,0.126206896551724
"TlessC1",30,"NoContrast","line","thin","blue","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC1",31,"Contrast","line","long ","green","Rel",0.0964912280701755,0.192982456140351,0.201754385964912,0.192982456140351,0.201754385964912,0.0463703703703704,0.0871111111111111,0.0908148148148148,0.0871111111111111,0.0908148148148148
"TlessC1",32,"NoContrast","line","short","red","Rel",0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0157142857142857,0.0157142857142857,0.0157142857142857,0.0157142857142857,0.0157142857142857
"TlessC1",33,"Contrast","triangle","big","yellow","Rel",0.0964912280701755,0.131578947368421,0.131578947368421,0.228070175438596,0.228070175438596,0.0825,0.1125,0.1125,0.195,0.195
"TlessC1",34,"NoContrast","square","small","blue","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC1",35,"Contrast","rectangle","wide","yellow","Rel",0.00877192982456143,0.0263157894736842,0.0263157894736842,0.105263157894737,0.105263157894737,0.0133333333333333,0.04,0.04,0.16,0.16
"TlessC1",36,"NoContrast","oval","narrow","red","Rel",0,0,0,0,0.0175438596491228,0,0,0,0,0.0188888888888889
"TlessC1",37,"Contrast","cylinder","tall","yellow","Rel",0.0526315789473684,0.12280701754386,0.131578947368421,0.12280701754386,0.131578947368421,0.0553846153846154,0.129230769230769,0.138461538461538,0.129230769230769,0.138461538461538
"TlessC1",38,"NoContrast","cylinder","short","green","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC1",39,"Contrast","line","thick","blue","Rel",0.087719298245614,0.166666666666667,0.175438596491228,0.210526315789474,0.219298245614035,0.0981034482758621,0.191206896551724,0.201551724137931,0.242931034482759,0.253275862068966
"TlessC1",40,"NoContrast","line","thin","red","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC2",1,"NoContrast","square","bumpy","blue","Min",0,0,0.00833333333333336,0,0.00833333333333336,0,0,0.00702702702702701,0,0.00702702702702701
"TlessC2",2,"Contrast","circle","open","blue","Min",0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.02,0.02,0.02,0.02,0.02
"TlessC2",3,"NoContrast","line","bent","green","Min",0.108333333333333,0.1,0.1,0.15,0.15,0.0630555555555556,0.0619444444444445,0.0619444444444445,0.0686111111111111,0.0686111111111111
"TlessC2",4,"Contrast","line","curved","red","Min",0.183333333333333,0.2,0.208333333333333,0.266666666666667,0.283333333333333,0.117028571428571,0.129828571428571,0.136228571428571,0.175542857142857,0.186514285714286
"TlessC2",5,"NoContrast","circle","spotted","yellow","Min",0.0166666666666667,0.0166666666666667,0.0166666666666667,0.05,0.05,0.0205714285714286,0.0205714285714286,0.0205714285714286,0.0668571428571429,0.0668571428571429
