"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",13.2877123795494,0,0
"big","some",5.09968973263582,0.26323354506482,0.25479953693176
"big","noDet",1.67252451353316,0.0693152683069764,0.0588961608250063
"big","num",0.632924580570447,0.0348822617213185,0.0324830358582966
"big","other",9.08104402354088,1.91946502898724,1.91768117707024
"small","all",13.2877123795494,0,0
"small","some",6.211770921192,0.959595322898807,1.35738791257617
"small","noDet",1.68693636755886,0.0772418560254111,0.0826075377975473
"small","num",0.600413277842293,0.0455111505719551,0.0459176548151089
"small","other",10.3563130242657,1.83779478805856,1.83812003760531
