"Language","1 competitor","2 competitors","No competitors"
"Catalan",0.510089686098655,0.427705866152575,0.481605351170569
"Catalan",0.586263736263736,0.379566053282065,0.608993693446669
"Catalan",0.521201909575962,0.435254803675856,0.525147513346446
"Catalan",0.623337363966143,0.451134380453752,0.586140254003313
"Catalan",0.49093567251462,0.417356639067771,0.483174425126192
"Catalan",0.445807187678266,0.234048404840484,0.513943112102621
"Catalan",0.568804824561403,0.427982407916438,0.540844298245614
"Catalan",0.559205078664091,0.472006890611542,0.506128133704735
"Catalan",0.504345388281469,0.438983986747653,0.546283503730312
"Catalan",0.525386313465784,0.347826086956522,0.655476059438635
"Catalan",0.591058694459682,0.473410087719298,0.572179203539823
"Catalan",0.540934065934066,0.449055523755009,0.517326732673267
"Catalan",0.524177949709865,0.458119658119658,0.540707467714767
"Catalan",0.491073880801978,0.403962575674188,0.487798190293392
"Catalan",0.536537927202001,0.400552486187845,0.572206303724928
"Catalan",0.549859943977591,0.4110530657135,0.558839933073062
"Catalan",0.450115340253749,0.346927053417576,0.529621503017005
"Catalan",0.523452678323619,0.360804851157663,0.473742399115533
"Catalan",0.567085076708508,0.439151982378855,0.534357541899441
"Catalan",0.393255295429208,0.374651810584958,0.382012968705949
"Catalan",0.568435754189944,0.430943814004982,0.574922687658139
"Catalan",0.585573230938014,0.416428162564396,0.533717105263158
"Catalan",0.476038338658147,0.385938442969221,0.460189709686692
"Catalan",0.506332676611314,0.379197622585438,0.401362475163213
"Catalan",0.37620490223079,0.321703296703297,0.451381215469613
"Hindi",0.485952923310554,0.453710506980162,0.435664335664336
"Hindi",0.36360266864344,0.485355648535565,0.3831123517097
"Hindi",0.290873015873016,0.419927536231884,0.434752267969295
"Hindi",0.376585719463574,0.417028985507246,0.420284821118444
"Hindi",0.257781032588795,0.288855193328279,0.419308870680442
"Hindi",0.367533380182713,0.370519532823198,0.390716374269006
"Hindi",0.325597749648383,0.26466275659824,0.407743285664458
"Hindi",0.481749049429658,0.434525877040639,0.496180555555556
"Hindi",0.383235724743777,0.455715957861881,0.44530698659139
"Hindi",0.278178368121442,0.410416666666667,0.417506078499479
"Hindi",0.277647058823529,0.383972654766426,0.321678321678322
"Hindi",0.30295652173913,0.349762687112085,0.373029772329247
"Hindi",0.453813855843247,0.391963608794541,0.498590556730092
"Hindi",0.271141448615851,0.421806605650617,0.388018112156043
"Hindi",0.432318992654774,0.261237034191318,0.354204586821988
"Hindi",0.382465944813133,0.473913043478261,0.492350486787204
"Hindi",0.285935683843472,0.407246376811594,0.371571072319202
"Hindi",0.342397548831865,0.374751095181203,0.419523099850969
"Hindi",0.428021015761821,0.413309982486865,0.370422043948378
"Hindi",0.385724852071006,0.421843280552172,0.441083362645093
"Hindi",0.359152483501216,0.442862358525009,0.453282389718652
"Hindi",0.505555555555556,0.483499616270146,0.36875
"Hindi",0.311382113821138,0.441133720930233,0.351623228166438
"Hindi",0.383650190114068,0.497430249632893,0.410763888888889
"Hindi",0.507058374666158,0.515785469760365,0.406785589366912
"Hindi",0.382198952879581,0.40975065128396,0.558772235786536
"Hindi",0.266788990825688,0.311069418386492,0.404065620542083
"Hungarian",0.378844204123015,0.386074157939428,0.48767663489977
"Hungarian",0.429932390903503,0.463708492506612,0.573198198198198
"Hungarian",0.474581724581725,0.531727379553466,0.557150900900901
"Hungarian",0.364571092831962,0.337837837837838,0.335792269105931
"Hungarian",0.367812685240071,0.491554537646722,0.479828326180258
"Hungarian",0.475358166189112,0.458501709667392,0.525648414985591
"Hungarian",0.467931345980126,0.496896162528217,0.533105996021597
