"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","other","test","small","icecream",1,0.2,0,0.4,0.270833333333333
"contrast","unreliable","adjective","target","test","small","lobster",1,0.733333333333333,0.533333333333333,0.933333333333333,0.277915632754342
"contrast","unreliable","adjective","competitor","test","small","lobster",1,0,0,0,0.231761786600496
"contrast","unreliable","adjective","other","test","small","lobster",1,0.266666666666667,0.0666666666666667,0.466666666666667,0.490322580645161
"contrast","unreliable","adjective","target","test","small","monkey",1,0.928571428571429,0.785714285714286,1,0.256857855361596
"contrast","unreliable","adjective","competitor","test","small","monkey",1,0,0,0,0.291271820448878
"contrast","unreliable","adjective","other","test","small","monkey",1,0.0714285714285714,0,0.214285714285714,0.451870324189526
"contrast","unreliable","adjective","target","train","big","alarmclock",1,0.266666666666667,0.0666666666666667,0.533333333333333,0.250496031746032
"contrast","unreliable","adjective","competitor","train","big","alarmclock",1,0.133333333333333,0,0.333333333333333,0.275793650793651
"contrast","unreliable","adjective","other","train","big","alarmclock",1,0.6,0.4,0.8,0.473710317460317
"contrast","unreliable","adjective","target","train","big","bat",1,0.333333333333333,0.133333333333333,0.6,0.2534281361097
"contrast","unreliable","adjective","competitor","train","big","bat",1,0,0,0,0.360589131538852
"contrast","unreliable","adjective","other","train","big","bat",1,0.666666666666667,0.4,0.866666666666667,0.385982732351447
"contrast","unreliable","adjective","target","train","big","beetle",1,0.642857142857143,0.357142857142857,0.857142857142857,0.32093253968254
"contrast","unreliable","adjective","competitor","train","big","beetle",1,0.0714285714285714,0,0.214285714285714,0.413690476190476
"contrast","unreliable","adjective","other","train","big","beetle",1,0.285714285714286,0.0714285714285714,0.571428571428571,0.265376984126984
"contrast","unreliable","adjective","target","train","big","briefcase",1,0.2,0,0.4,0.298105682951147
"contrast","unreliable","adjective","competitor","train","big","briefcase",1,0,0,0,0.350947158524427
"contrast","unreliable","adjective","other","train","big","briefcase",1,0.8,0.6,1,0.350947158524427
"contrast","unreliable","adjective","target","train","big","door",1,0.333333333333333,0.133333333333333,0.6,0.470238095238095
"contrast","unreliable","adjective","competitor","train","big","door",1,0.4,0.2,0.666666666666667,0.22718253968254
"contrast","unreliable","adjective","other","train","big","door",1,0.266666666666667,0.0666666666666667,0.466666666666667,0.302579365079365
"contrast","unreliable","adjective","target","train","big","flute",1,0.133333333333333,0,0.333333333333333,0.293765586034913
"contrast","unreliable","adjective","competitor","train","big","flute",1,0.133333333333333,0,0.333333333333333,0.335660847880299
