"condition","itemid","Window","Region","freq.eye","prop.eye","freq.click","prop.click"
"contrast",20,"adjective","competitor",56,0.243478260869565,36,0.72
"contrast",20,"adjective","distractor",15,0.0652173913043478,0,0
"contrast",20,"adjective","contrast",34,0.147826086956522,0,0
"contrast",20,"adjective","target",125,0.543478260869565,14,0.28
"contrast",20,"noun","competitor",3,0.0909090909090909,8,0.16
"contrast",20,"noun","distractor",3,0.0909090909090909,0,0
"contrast",20,"noun","contrast",9,0.272727272727273,0,0
"contrast",20,"noun","target",18,0.545454545454545,42,0.84
"contrast",20,"prior","competitor",107,0.389090909090909,11,0.22
"contrast",20,"prior","distractor",10,0.0363636363636364,12,0.24
"contrast",20,"prior","contrast",64,0.232727272727273,18,0.36
"contrast",20,"prior","target",94,0.341818181818182,9,0.18
"contrast",21,"adjective","competitor",74,0.312236286919831,28,0.56
"contrast",21,"adjective","distractor",0,0,0,0
"contrast",21,"adjective","contrast",36,0.151898734177215,1,0.02
"contrast",21,"adjective","target",127,0.535864978902954,21,0.42
"contrast",21,"noun","competitor",3,0.0789473684210526,14,0.28
"contrast",21,"noun","distractor",0,0,0,0
"contrast",21,"noun","contrast",0,0,0,0
"contrast",21,"noun","target",35,0.921052631578947,36,0.72
"contrast",21,"prior","competitor",79,0.344978165938865,19,0.38
"contrast",21,"prior","distractor",20,0.0873362445414847,19,0.38
"contrast",21,"prior","contrast",26,0.11353711790393,6,0.12
"contrast",21,"prior","target",104,0.454148471615721,6,0.12
"contrast",22,"adjective","competitor",61,0.204013377926421,11,0.22
"contrast",22,"adjective","distractor",0,0,1,0.02
"contrast",22,"adjective","contrast",81,0.270903010033445,4,0.08
"contrast",22,"adjective","target",157,0.525083612040134,34,0.68
"contrast",22,"noun","competitor",0,0,2,0.04
"contrast",22,"noun","distractor",0,0,0,0
"contrast",22,"noun","contrast",0,0,0,0
"contrast",22,"noun","target",0,0,48,0.96
"contrast",22,"prior","competitor",75,0.412087912087912,12,0.24
"contrast",22,"prior","distractor",26,0.142857142857143,19,0.38
"contrast",22,"prior","contrast",27,0.148351648351648,11,0.22
"contrast",22,"prior","target",54,0.296703296703297,8,0.16
"contrast",23,"adjective","competitor",16,0.137931034482759,11,0.22
"contrast",23,"adjective","distractor",6,0.0517241379310345,1,0.02
"contrast",23,"adjective","contrast",27,0.232758620689655,0,0
"contrast",23,"adjective","target",67,0.577586206896552,38,0.76
"contrast",23,"noun","competitor",6,0.122448979591837,0,0
"contrast",23,"noun","distractor",0,0,0,0
"contrast",23,"noun","contrast",15,0.306122448979592,0,0
"contrast",23,"noun","target",28,0.571428571428571,50,1
"contrast",23,"prior","competitor",25,0.196850393700787,14,0.28
"contrast",23,"prior","distractor",42,0.330708661417323,10,0.2
"contrast",23,"prior","contrast",36,0.283464566929134,14,0.28
"contrast",23,"prior","target",24,0.188976377952756,12,0.24
"contrast",24,"adjective","competitor",79,0.312252964426877,14,0.28
"contrast",24,"adjective","distractor",32,0.126482213438735,8,0.16
"contrast",24,"adjective","contrast",63,0.24901185770751,2,0.04
"contrast",24,"adjective","target",79,0.312252964426877,26,0.52
"contrast",24,"noun","competitor",0,0,1,0.02
"contrast",24,"noun","distractor",0,0,0,0
"contrast",24,"noun","contrast",0,0,0,0
"contrast",24,"noun","target",0,0,49,0.98
"contrast",24,"prior","competitor",93,0.372,15,0.3
"contrast",24,"prior","distractor",48,0.192,9,0.18
"contrast",24,"prior","contrast",19,0.076,15,0.3
"contrast",24,"prior","target",90,0.36,11,0.22
"contrast",25,"adjective","competitor",78,0.333333333333333,30,0.6
"contrast",25,"adjective","distractor",100,0.427350427350427,3,0.06
"contrast",25,"adjective","contrast",34,0.145299145299145,1,0.02
"contrast",25,"adjective","target",22,0.094017094017094,16,0.32
"contrast",25,"noun","competitor",0,0,3,0.06
"contrast",25,"noun","distractor",0,0,0,0
"contrast",25,"noun","contrast",0,0,1,0.02
"contrast",25,"noun","target",0,0,46,0.92
"contrast",25,"prior","competitor",91,0.387234042553191,13,0.26
"contrast",25,"prior","distractor",67,0.285106382978723,9,0.18
"contrast",25,"prior","contrast",56,0.238297872340426,12,0.24
"contrast",25,"prior","target",21,0.0893617021276596,16,0.32
"contrast",26,"adjective","competitor",34,0.124542124542125,13,0.26
"contrast",26,"adjective","distractor",0,0,2,0.04
"contrast",26,"adjective","contrast",33,0.120879120879121,0,0
"contrast",26,"adjective","target",206,0.754578754578755,35,0.7
"contrast",26,"noun","competitor",0,0,0,0
"contrast",26,"noun","distractor",0,0,0,0
"contrast",26,"noun","contrast",6,0.545454545454545,1,0.02
"contrast",26,"noun","target",5,0.454545454545455,49,0.98
"contrast",26,"prior","competitor",68,0.257575757575758,14,0.28
"contrast",26,"prior","distractor",0,0,20,0.4
"contrast",26,"prior","contrast",89,0.337121212121212,7,0.14
"contrast",26,"prior","target",107,0.40530303030303,9,0.18
"contrast",27,"adjective","competitor",92,0.412556053811659,41,0.82
"contrast",27,"adjective","distractor",27,0.121076233183857,2,0.04
"contrast",27,"adjective","contrast",16,0.0717488789237668,0,0
