WorkerId,Answer.wrongAdj,Answer.wrongShape,Input.List,SceneID,Answer.choicePrior,Answer.choiceAdj,Answer.choiceWhole,Turn,sceneConfigs,timePrior,timeAdj,timeWhole,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType
plecti36g9fb,No,No,TmoreC1,47,Competitor,Competitor,Target,19,ABDC,2976,1615,1409,Contrast,square,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,48,Target,Target,Target,51,ACBD,4199,1166,1210,NoContrast,circle,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,49,Contrast,Target,Target,30,DCAB,2368,2071,1560,Contrast,line,red,red,Col
plecti36g9fb,No,No,TmoreC1,50,Target,Target,Target,119,ADBC,2047,1192,1193,NoContrast,triangle,green,green,Col
plecti36g9fb,No,No,TmoreC1,51,Competitor,Competitor,Target,86,CABD,2104,1286,2471,Contrast,oval,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,52,Contrast,Competitor,Target,65,CDBA,1901,1726,1624,NoContrast,rectangle,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,53,Distractor,Target,Target,72,BDAC,2435,1683,1226,Contrast,square,green,green,Col
plecti36g9fb,No,No,TmoreC1,54,Contrast,Competitor,Target,14,ABDC,2212,2649,1303,NoContrast,circle,red,red,Col
plecti36g9fb,No,No,TmoreC1,55,Competitor,Competitor,Target,8,ABCD,4271,1414,1657,Contrast,line,red,red,Col
plecti36g9fb,No,No,TmoreC1,56,Target,Target,Target,50,ABCD,1991,1456,1198,NoContrast,triangle,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,57,Target,Target,Target,43,ACBD,2016,1543,1273,Contrast,square,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,58,Distractor,Target,Target,61,DCAB,1967,1631,1104,NoContrast,circle,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,59,Target,Target,Target,59,ACDB,2225,1620,1112,Contrast,line,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,60,Target,Target,Target,60,ACDB,2017,1474,1468,NoContrast,triangle,red,red,Col
plecti36g9fb,No,No,TmoreC1,61,Target,{},Target,29,BCDA,2279,NA,1480,F1_NmNcNc,square,none,green,none
plecti36g9fb,No,No,TmoreC1,62,Target,{},Target,10,ACDB,2797,NA,1513,F1_NmNcNc,arrow,none,blue,none
plecti36g9fb,No,No,TmoreC1,63,Distractor,{},Target,31,DCAB,2325,NA,1936,F1_NmNcNc,star,none,yellow,none
plecti36g9fb,No,No,TmoreC1,64,Contrast,{},Target,11,DCBA,4207,NA,2121,F1_NmNcNc,spiral,none,red,none
plecti36g9fb,No,No,TmoreC1,65,Competitor,{},Target,91,BACD,2247,NA,1776,F1_NmNcNc,cylinder,none,green,none
plecti36g9fb,No,No,TmoreC1,66,Contrast,{},Target,17,BCDA,2057,NA,1646,F1_NmNcNc,heart,none,blue,none
plecti36g9fb,No,No,TmoreC1,67,Contrast,{},Target,9,DACB,2515,NA,1993,F1_NmNcNc,triangle,none,yellow,none
plecti36g9fb,No,No,TmoreC1,68,Contrast,{},Target,38,CDBA,2006,NA,1490,F1_NmNcNc,circle,none,red,none
plecti36g9fb,No,No,TmoreC1,69,Competitor,{},Target,66,BADC,2127,NA,1792,F1_NmNcNc,cloud,none,red,none
plecti36g9fb,No,No,TmoreC1,70,Competitor,{},Target,24,DABC,2175,NA,1766,F1_NmNcNc,cube,none,green,none
plecti36g9fb,No,No,TmoreC1,71,Competitor,Target,Target,77,DBAC,2756,1547,1047,F2_TisD,square,red,red,Col
plecti36g9fb,No,No,TmoreC1,72,Competitor,Target,Target,1,ADCB,5752,2527,2119,F2_TisD,triangle,green,green,Col
plecti36g9fb,No,No,TmoreC1,73,Competitor,Target,Target,36,ACBD,1993,1895,1208,F2_TisD,line,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,74,Competitor,Target,Target,22,CBAD,2421,1590,1181,F2_TisD,circle,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,75,Target,Target,Target,54,CBDA,2118,1214,1145,F2_TisD,oval,red,red,Col
plecti36g9fb,No,No,TmoreC1,76,Contrast,Target,Target,58,DCBA,2039,1626,1206,F2_TisD,square,green,green,Col
plecti36g9fb,No,No,TmoreC1,77,Distractor,Target,Target,81,CBAD,2080,1651,1411,F2_TisD,triangle,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,78,Distractor,Target,Target,33,CDAB,2396,2223,1178,F2_TisD,line,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,79,Distractor,Target,Target,84,BCAD,1969,1529,1391,F2_TisD,square,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,80,Competitor,Target,Target,118,DABC,1880,1697,1101,F2_TisD,rectangle,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,81,Distractor,{},Target,97,BCAD,2010,NA,1742,F3_NmCppTisD,square,none,blue,none
plecti36g9fb,No,No,TmoreC1,82,Competitor,{},Target,70,DBCA,2098,NA,1717,F3_NmCppTisD,circle,none,yellow,none
plecti36g9fb,No,No,TmoreC1,83,Competitor,{},Target,94,DACB,1904,NA,1872,F3_NmCppTisD,triangle,none,red,none
plecti36g9fb,No,No,TmoreC1,84,Competitor,{},Target,53,ABDC,1956,NA,1786,F3_NmCppTisD,rectangle,none,green,none
plecti36g9fb,No,No,TmoreC1,85,Contrast,{},Target,112,BDAC,1989,NA,1951,F3_NmCppTisD,line,none,blue,none
plecti36g9fb,No,No,TmoreC1,86,Contrast,{},Target,104,BCDA,2081,NA,1544,F3_NmCppTisD,oval,none,yellow,none
plecti36g9fb,No,No,TmoreC1,87,Contrast,{},Target,90,BDCA,1861,NA,1400,F3_NmCppTisD,triangle,none,red,none
plecti36g9fb,No,No,TmoreC1,88,Target,{},Target,47,ABDC,2106,NA,1613,F3_NmCppTisD,rectangle,none,green,none
plecti36g9fb,No,No,TmoreC1,89,Competitor,{},Target,92,DABC,2064,NA,1968,F3_NmCppTisD,arrow,none,blue,none
plecti36g9fb,No,No,TmoreC1,90,Target,{},Target,117,BCDA,1808,NA,1296,F3_NmCppTisD,oval,none,red,none
plecti36g9fb,No,No,TmoreC1,91,Target,{},Target,102,ADBC,1807,NA,1294,F4_NmNCppCp,square,none,yellow,none
plecti36g9fb,No,No,TmoreC1,92,Target,{},Target,103,BADC,2117,NA,1210,F4_NmNCppCp,circle,none,red,none
plecti36g9fb,No,No,TmoreC1,93,Target,{},Target,93,CDAB,2131,NA,1647,F4_NmNCppCp,triangle,none,green,none
plecti36g9fb,No,No,TmoreC1,94,Competitor,{},Target,37,BADC,1919,NA,1735,F4_NmNCppCp,arrow,none,blue,none
plecti36g9fb,No,No,TmoreC1,95,Distractor,{},Target,78,DBAC,2051,NA,2221,F4_NmNCppCp,line,none,yellow,none
plecti36g9fb,No,No,TmoreC1,96,Competitor,{},Target,25,ABCD,2624,NA,1535,F4_NmNCppCp,oval,none,red,none
plecti36g9fb,No,No,TmoreC1,97,Contrast,{},Target,98,CBDA,2281,NA,1775,F4_NmNCppCp,rectangle,none,green,none
plecti36g9fb,No,No,TmoreC1,98,Contrast,{},Target,18,BDCA,3352,NA,1494,F4_NmNCppCp,heart,none,blue,none
plecti36g9fb,No,No,TmoreC1,99,Target,{},Target,49,ACBD,2073,NA,1222,F4_NmNCppCp,star,none,yellow,none
plecti36g9fb,No,No,TmoreC1,100,Distractor,{},Target,105,BDCA,1900,NA,1727,F4_NmNCppCp,sun,none,red,none
plecti36g9fb,No,No,TmoreC1,101,Competitor,Target,Target,67,DABC,1982,1559,1145,F5_MCppisD,square,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,102,Competitor,Target,Target,34,DBCA,2536,1607,1569,F5_MCppisD,circle,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,103,Competitor,Target,Target,20,ADBC,2464,1374,1175,F5_MCppisD,triangle,red,red,Col
plecti36g9fb,No,No,TmoreC1,104,Distractor,Target,Target,108,CDAB,1959,1527,1031,F5_MCppisD,rectangle,green,green,Col
plecti36g9fb,No,No,TmoreC1,105,Distractor,Target,Target,107,CABD,1918,1911,1191,F5_MCppisD,line,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,106,Distractor,Target,Target,69,BCAD,5521,1488,1255,F5_MCppisD,oval,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,107,Contrast,Target,Target,80,DCBA,1991,1576,1063,F5_MCppisD,triangle,red,red,Col
plecti36g9fb,No,No,TmoreC1,108,Target,Target,Target,13,CABD,2800,1768,1346,F5_MCppisD,rectangle,green,green,Col
plecti36g9fb,No,No,TmoreC1,109,Contrast,Target,Target,74,ADBC,2198,1705,1070,F5_MCppisD,arrow,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,110,Target,Target,Target,89,BCDA,2120,1199,1138,F5_MCppisD,oval,red,red,Col
plecti36g9fb,No,No,TmoreC1,111,Target,Target,Target,95,CDAB,1943,1769,1512,F6_MNCpp,square,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,112,Distractor,Target,Target,57,DCAB,2221,1571,1036,F6_MNCpp,circle,red,red,Col
plecti36g9fb,No,No,TmoreC1,113,Target,Target,Target,114,ADBC,1784,1533,1214,F6_MNCpp,triangle,green,green,Col
plecti36g9fb,No,No,TmoreC1,114,Target,Target,Target,28,ADCB,2523,1582,1109,F6_MNCpp,arrow,blue,blue,Col
plecti36g9fb,No,No,TmoreC1,115,Target,Target,Target,44,CABD,2434,1316,1132,F6_MNCpp,line,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,116,Distractor,Target,Target,116,DCAB,2032,1405,1153,F6_MNCpp,oval,red,red,Col
plecti36g9fb,No,No,TmoreC1,117,Contrast,Target,Target,46,BCDA,4120,2144,1135,F6_MNCpp,rectangle,green,green,Col
plecti36g9fb,No,No,TmoreC1,118,Distractor,Target,Target,109,BDCA,2512,1637,1168,F6_MNCpp,heart,blue,blue,Col
