"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",13.2877123795494,0,0
"big","noDet",1.67252451353316,0.0655506145131897,0.0624126609189712
"big","num",0.632924580570447,0.0317445082148116,0.0305348194381821
"big","other",9.08104402354088,1.98603132601297,1.90143493044432
"big","some",5.09968973263582,0.264646645717314,0.294242516995203
"small","all",13.2877123795494,0,0
"small","noDet",1.68693636755886,0.0773296123017992,0.081915323277169
"small","num",0.600413277842293,0.0440406138735596,0.0453625948397266
"small","other",10.3563130242657,2.20995387288642,1.82648253915082
"small","some",6.211770921192,0.962025610296204,1.35494642833965
