"size","detUsed","quarter","mean_surprisal","CI.Low","CI.High"
"big","all",1,13.2877123795494,0,0
"big","all",4,13.2877123795494,0,0
"big","noDet",1,2.75118536774646,0.23117054134606,0.235422738292661
"big","noDet",4,2.62031345682762,0.250296037868158,0.233217464104875
"big","num",1,1.66906085896777,0.149717053897292,0.164858012897853
"big","num",4,1.72225945745289,0.211636555736385,0.197893682344733
"big","other",1,13.2877123795494,0,0
"big","other",4,11.2187987523749,2.16108674262921,2.06891362717457
"big","some",1,10.5013287128385,2.21952653734604,2.16302054525332
"big","some",4,9.08693757284505,2.47853958655335,2.19799027307421
"small","all",1,13.2877123795494,0,0
"small","all",4,13.2877123795494,0,0
"small","noDet",1,2.94614340478691,0.332754729882295,0.39038650535392
"small","noDet",4,2.86213729640893,0.37034938272136,0.380556314262656
"small","num",1,1.65328472650662,0.188763861979949,0.204298780711938
"small","num",4,1.56880711873388,0.247722785050396,0.283121991588695
"small","other",1,12.6380574392811,1.29930988053663,0.649654940268315
"small","other",4,12.0318699293026,1.87707764736228,1.25584245024689
"small","some",1,9.31585038851246,2.14537502063255,2.60432482758753
"small","some",4,11.3028918181691,2.06581936336622,1.98482056138035
