workerid,proliferate.condition,time_in_minutes,error
54,List1,6.857083333333334,
63,List1,3.3247833333333334,
58,List1,6.260233333333334,
41,List1,8.1625,
35,List1,7.878483333333333,
79,List1,6.695083333333334,
32,List1,8.3256,
38,List1,4.9771833333333335,
49,List1,5.6822333333333335,
69,List1,13.493633333333332,
66,List1,7.299016666666667,
52,List1,8.4628,
29,List1,7.817516666666666,
60,List1,31.365283333333338,
70,List1,8.795933333333334,
76,List1,4.5921666666666665,
73,List1,11.094883333333334,
51,List3,7.912133333333333,
28,List3,4.2138333333333335,
45,List3,10.05155,
57,List3,9.053066666666666,
42,List3,7.488783333333333,
44,List3,4.871616666666666,
78,List3,8.5463,
62,List3,5.886833333333334,
72,List3,7.146883333333333,
56,List3,11.30535,
48,List3,5.319583333333333,
34,List3,14.601783333333334,
68,List3,6.778966666666666,
40,List3,11.2573,
37,List3,7.28905,
65,List3,9.035166666666669,
75,List3,11.229283333333331,
50,List2,10.073866666666667,
55,List2,5.632416666666667,
59,List2,4.26745,
30,List2,6.87715,
39,List2,6.180766666666667,
67,List2,7.571983333333334,
47,List2,6.49215,
64,List2,6.952016666666666,
53,List2,9.786983333333334,
77,List2,10.326916666666667,
71,List2,6.9622166666666665,
27,List2,9.031,
36,List2,8.867766666666666,
61,List2,15.820866666666667,
74,List2,6.6039,
43,List2,7.230616666666666,
33,List2,6.123833333333334,
