filename,adj_onset,noun_onset,AdjDur,NounDur,adj_offset,noun_offset
norm_big_apple.wav,620.1823779,794.9583591,170.90059,374.379232,791.0829679,1169.337591
norm_big_balloon.wav,615.6420721,816.3067798,133.064895,473.724368,748.7069671,1290.031148
norm_big_banana.wav,659.770575,861.4204766,115.252265,524.697352,775.02284,1386.117829
norm_big_bear.wav,677.4218288,883.0706739,86.102112,388.2701,763.5239408,1271.340774
norm_big_flag.wav,547.7599186,672.2596059,98.032062,479.196021,645.7919806,1151.455627
norm_big_lamp.wav,588.2122961,742.2838293,91.925889,446.43238,680.1381851,1188.716209
norm_big_octopus.wav,604.5276309,759.6469676,133.424285,670.09816,737.9519159,1429.745128
norm_big_pencil.wav,622.138118,789.7608249,72.917068,403.257918,695.055186,1193.018743
norm_big_pillow.wav,672.2816479,879.3248682,87.023559,383.748324,759.3052069,1263.073192
norm_big_spider.wav,617.3822406,766.133747,102.562163,535.026188,719.9444036,1301.159935
norm_big_umbrella.wav,621.891612,745.7060062,114.563893,534.458469,736.455505,1280.164475
norm_small_banana.wav,591.6479863,906.1407442,262.534987,504.855038,854.1829733,1410.995782
norm_small_candle.wav,553.42061,904.518627,279.52995,464.431457,832.95056,1368.950084
norm_small_dog.wav,645.6807109,1002.986587,309.123553,366.428456,954.8042639,1369.415043
norm_small_feather.wav,645.1287586,987.407017,278.829613,350.434068,923.9583716,1337.841085
norm_small_house.wav,553.4103136,882.4523532,306.059419,510.427461,859.4697326,1392.879814
norm_small_ladybug.wav,551.7105523,906.069497,354.358945,594.49774,906.0694973,1500.567237
norm_small_lock.wav,494.2599507,811.7930317,317.533081,410.117283,811.7930317,1221.910315
norm_small_panda.wav,588.9825455,938.7062443,296.975115,526.553538,885.9576605,1465.259782
norm_small_ring.wav,552.719507,913.3078737,302.004291,339.230532,854.723798,1252.538406
norm_small_watermelon.wav,511.1938547,888.727073,326.425768,644.949651,837.6196227,1533.676724
