,trialType,cond,utterance_type,instruction,target,contrastGood,contrastBad,big_filler,small_Filler
126,filler,semantic_contrast,modified,Click on the red bathingsuit,bathingsuit_red.jpg,bathingsuit_blue.jpg,chopsticks.jpg,weddingcake_big.jpg,jackolantern_small.jpg
127,filler,semantic_contrast,modified,Click on the red wine,wine_red.jpg,wine_white.jpg,cockerspaniel.jpg,bootie_big.jpg,jar_small.jpg
128,filler,semantic_contrast,modified,Click on the nuts chocolatebar,chocolatebar_nuts.jpg,chocolatebar_nonuts.jpg,constructionhelmet.jpg,woodperson_big.jpg,joystick_small.jpg
129,filler,semantic_contrast,modified,Click on the one dollarbills,dollarbills_one.jpg,dollarbills_five.jpg,daisies.jpg,bobcat_big.jpg,juicer_small.jpg
130,filler,semantic_contrast,modified,Click on the green bellpeppers,bellpeppers_green.jpg,bellpeppers_red.jpg,dogbones.jpg,babyswing_big.jpg,redkettle_small.jpg
131,filler,semantic_contrast,modified,Click on the round chocolatecandy,chocolatecandy_round.jpg,chocolatecandy_square.jpg,film.jpg,bait_big.jpg,kitchenisland_small.jpg
132,filler,semantic_contrast,modified,Click on the reading glasses,glasses_reading.jpg,glasses_sun.jpg,fishhook.jpg,evenbars_big.jpg,kitchentimer_small.jpg
133,filler,semantic_contrast,modified,Click on the round loafofbread,loafofbread_round.jpg,loafofbread_rectangular.jpg,flamingo.jpg,batteries_big.jpg,kneehammer_small.jpg
134,filler,semantic_contrast,modified,Click on the dog robot,robot_dog.jpg,robot_person.jpg,flipflops.jpg,beachtowels_big.jpg,boxcutter_small.jpg
135,filler,semantic_contrast,modified,Click on the metal sink,sink_metal.jpg,sink_porcelain.jpg,flowerpot.jpg,bikewithbasket_big.jpg,ladle_small.jpg
136,filler,semantic_contrast,modified,Click on the tricolor pasta,pasta_tricolor.jpg,pasta_tortellini.jpg,mortarandpestle.jpg,brusselsprout_big.jpg,lemur_small.jpg
137,filler,semantic_contrast,modified,Click on the heart candy,candy_heart.jpg,candy_orange.jpg,frame.jpg,butternutsquash_big.jpg,leopard_small.jpg
138,filler,semantic_contrast,modified,Click on the electric kettle,kettle_electric.jpg,kettle_stovetop.jpg,frenchtoast.jpg,celery_big.jpg,loofa_small.jpg
139,filler,semantic_contrast,modified,Click on the open coffin,coffin_open.jpg,coffin_closed.jpg,fruitcake.jpg,cigarette_big.jpg,braidedloaf_small.jpg
140,filler,semantic_contrast,modified,Click on the round cracker,cracker_round.jpg,cracker_square.jpg,grillpan.jpg,golfcart_big.jpg,manatee_small.jpg
141,filler,semantic_contrast,modified,Click on the hand mirror,mirror_hand.jpg,mirror_standing.jpg,goldfish.jpg,exercisebike_big.jpg,mango_small.jpg
142,filler,semantic_contrast,modified,Click on the rainbow slinky,slinky_rainbow.jpg,slinky_silver.jpg,golfiron.jpg,dustpan_big.jpg,measuringcups_small.jpg
143,filler,semantic_contrast,modified,Click on the open backpack,backpack_open.jpg,backpack_closed.jpg,grater.jpg,helicopter_big.jpg,meat_small.jpg
144,filler,semantic_contrast,modified,Click on the open book,book_open.jpg,book_closed.jpg,groundhog.jpg,tank_big.jpg,thermometer_small.jpg
145,filler,semantic_contrast,modified,Click on the green cabbage,cabbage_green.jpg,cabbage_red.jpg,milkjug.jpg,fortunecookie_big.jpg,muffinpan_small.jpg
146,filler,semantic_contrast,modified,Click on the mobile phone,phone_mobile.jpg,phone_landline.jpg,ship.jpg,gingerbreadcookie_big.jpg,nailpolish_small.jpg
147,filler,semantic_contrast,modified,Click on the glazed donut,donut_glazed.jpg,donut_powdered.jpg,lighter.jpg,gummybears_big.jpg,organ_small.jpg
148,filler,semantic_contrast,modified,Click on the coffee cup,cup_coffee.jpg,cup_plastic.jpg,icecubetray.jpg,carkeys_big.jpg,oven_small.jpg
149,filler,semantic_contrast,modified,Click on the glass bottle,bottle_glass.jpg,bottle_plastic.jpg,gardeningpail.jpg,lawnmower_big.jpg,paintroller_small.jpg
150,filler,semantic_contrast,modified,Click on the fountain pen,pen_fountain.jpg,pen_marker.jpg,mousewheel.jpg,kimono_big.jpg,bench_small.jpg
151,filler,semantic_contrast,modified,Click on the rubber duck,duck_rubber.jpg,duck_plush.jpg,nailclippers.jpg,spring_big.jpg,parsley_small.jpg
152,filler,semantic_contrast,modified,Click on the red pin,pin_red.jpg,pin_yellow.jpg,orca.jpg,saltpepper_big.jpg,pitabread_small.jpg
153,filler,semantic_contrast,modified,Click on the pink cooler,cooler_pink.jpg,cooler_blue.jpg,rainboots.jpg,scooter_big.jpg,pepperoni_small.jpg
154,filler,semantic_contrast,modified,Click on the lion doorknocker,doorknocker_lion.jpg,doorknocker_dragon.jpg,rug.jpg,sandbox_big.jpg,peppershaker_small.jpg
155,filler,semantic_contrast,modified,Click on the yellow highlighter,highlighter_yellow.jpg,highlighter_pink.jpg,picnictable.jpg,computermouse_big.jpg,persianrug_small.jpg
156,filler,semantic_contrast,modified,Click on the barn mailbox,mailbox_barn.jpg,mailbox_cow.jpg,pinkshoes.jpg,seesaw_big.jpg,pitchfork_small.jpg
157,filler,semantic_contrast,modified,Click on the convertible car,car_convertible.jpg,car_sedan.jpg,pocketwatch.jpg,shield_big.jpg,plum_small.jpg
158,filler,semantic_contrast,modified,Click on the cocktail umbrella,umbrella_cocktail.jpg,umbrella_rain.jpg,potofgold.jpg,sportsbasket_big.jpg,corndog_small.jpg
159,filler,semantic_contrast,modified,Click on the fivecent coins,coins_fivecent.jpg,coins_tencent.jpg,rake.jpg,turnip_big.jpg,pomegranate_small.jpg
160,filler,semantic_contrast,modified,Click on the twoslot toaster,toaster_twoslot.jpg,toaster_fourslot.jpg,recyclingbox.jpg,robe_big.jpg,eyeshadow_small.jpg
161,filler,semantic_contrast,modified,Click on the round tupperware,tupperware_round.jpg,tupperware_rectangular.jpg,rockingchair.jpg,crutches_big.jpg,powder_small.jpg
162,filler,semantic_contrast,modified,Click on the hawaiian shirt,shirt_hawaiian.jpg,shirt_corvette.jpg,yellowrose.jpg,exerciseball_big.jpg,policecar_small.jpg
163,filler,semantic_contrast,modified,Click on the green lightbulb,lightbulb_green.jpg,lightbulb_white.jpg,russiandoll.jpg,greentape_big.jpg,redbean_small.jpg
164,filler,semantic_contrast,modified,Click on the plastic fork,fork_plastic.jpg,fork_silver.jpg,salami.jpg,postits_big.jpg,rockclimbingshoe_small.jpg
165,filler,semantic_contrast,modified,Click on the red apple,apple_red.jpg,apple_green.jpg,scale.jpg,payphone_big.jpg,saddle_small.jpg
166,filler,semantic_contrast,modified,Click on the wrapped candy,candy_wrapped.jpg,candy_unwrapped.jpg,seal.jpg,grenade_big.jpg,sandal_small.jpg
167,filler,semantic_contrast,modified,Click on the open box,box_open.jpg,box_closed.jpg,skeleton.jpg,measuringtape_big.jpg,screw_small.jpg
168,filler,semantic_contrast,modified,Click on the shorthair puppet,puppet_shorthair.jpg,puppet_longhair.jpg,sled.jpg,protractor_big.jpg,shades_small.jpg
169,filler,semantic_contrast,modified,Click on the whole lemon,lemon_whole.jpg,lemon_half.jpg,skydive.jpg,handcuffs_big.jpg,shelf_small.jpg
170,filler,semantic_contrast,modified,Click on the open lock,lock_open.jpg,lock_closed.jpg,speakers.jpg,wrench_big.jpg,jumprope_small.jpg
171,filler,semantic_contrast,modified,Click on the green mixer,mixer_green.jpg,mixer_red.jpg,spiderweb.jpg,tweezers_big.jpg,skirt_small.jpg
172,filler,semantic_contrast,modified,Click on the yellow watch,watch_yellow.jpg,watch_brown.jpg,staircase.jpg,babybottle_big.jpg,snowshoes_small.jpg
173,filler,semantic_contrast,modified,Click on the pink eraser,eraser_pink.jpg,eraser_redandblue.jpg,streetlamp.jpg,barberchair_big.jpg,thimble_small.jpg
174,filler,semantic_contrast,modified,Click on the black shorts,shorts_black.jpg,shorts_blue.jpg,zucchini.jpg,birdcage_big.jpg,thermos_small.jpg
175,filler,semantic_contrast,modified,Click on the red toothbrush,toothbrush_red.jpg,toothbrush_purple.jpg,baseballbat.jpg,bloodymary_big.jpg,threeholepunch_small.jpg
176,filler,semantic_contrast,modified,Click on the blue bow,bow_blue.jpg,bow_pink.jpg,buffalowings.jpg,bottleopener_big.jpg,toiletplunger_small.jpg
177,filler,semantic_contrast,modified,Click on the strawberry pie,pie_strawberry.jpg,pie_cherry.jpg,jalapeno.jpg,castanets_big.jpg,toyhorse_small.jpg
178,filler,semantic_contrast,modified,Click on the yellow plate,plate_yellow.jpg,plate_blue.jpg,legoblocks.jpg,cheeseplate_big.jpg,kooshball_small.jpg
179,filler,semantic_contrast,modified,Click on the narrow tire,tire_narrow.jpg,tire_wide.jpg,wetsuit.jpg,playpen_big.jpg,toytrain_small.jpg
180,filler,contrast_control,unmodified,Click on the stapler,stapler_big.jpg,lacrosse_small.jpg,stapler_small.jpg,broom_big.jpg,broom_small.jpg
