"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",13.2877123795494,0,0
"big","noDet",1.67252451353316,0.0650249027834202,0.0590176490829104
"big","num",0.632924580570447,0.0318530746671145,0.0333588552499411
"big","other",9.08104402354088,1.90261950298783,2.29809769334618
"big","some",5.09968973263582,0.283485886431488,0.259620653245904
"small","all",13.2877123795494,0,0
"small","noDet",1.68693636755886,0.0829571049773534,0.0838853991402499
"small","num",0.600413277842293,0.0416313032068309,0.0470762362694287
"small","other",10.3563130242657,1.9134410090372,1.82648253915082
"small","some",6.211770921192,0.890721065543576,1.43592920050395
