,filename,intro_onset,intro_offset,adj_onset,adj_offset,noun_onset,noun_offset,introDur,adjDur,nounDur
149,fork_plastic.wav,0,444.3253308,524.3835153,1092.068824,1092.068824,1656.077098,444.3253308,567.6853088,564.0082734
150,fork_small.wav,0,497.4929467,497.4929467,1164.978989,1221.786312,1920.516382,497.4929467,667.4860427,698.7300703
151,fountain.wav,13.03082494,439.8782926,NA,NA,505.4241584,1060.165998,426.8474677,NA,554.74184
152,frenchfries.wav,13.91543576,486.7377241,NA,NA,509.3608001,1504.776144,472.8222883,NA,995.4153438
153,fridge.wav,15.87155491,466.8176725,NA,NA,546.6004472,1144.971257,450.9461176,NA,598.3708099
154,garbagebin.wav,0,529.9701406,NA,NA,619.284769,1408.576835,529.9701406,NA,789.2920655
155,garbagebin_big.wav,18.94076639,523.9464191,702.5459791,1099.776035,1235.265357,2082.073616,505.0056527,397.2300561,846.808259
156,garlic.wav,8.845289777,536.0260746,NA,NA,584.1077096,1161.087331,527.1807848,NA,576.9796211
157,garlic_small.wav,0,454.4320912,454.4320912,1036.386585,1151.43393,1746.355223,454.4320912,581.9544939,594.9212933
158,giraffe.wav,4.079738547,518.0794134,NA,NA,540.8395466,1288.130587,513.9996748,NA,747.2910402
159,giraffe_small.wav,0,519.576995,519.576995,1120.837216,1270.349139,2054.666308,519.576995,601.2602208,784.3171692
160,glass.wav,0,478.5586814,NA,NA,532.6723617,1183.782128,478.5586814,NA,651.1097659
161,glass_big.wav,0,507.2773893,626.2030515,1008.464109,1164.200095,1914.564392,507.2773893,382.2610571,750.3642973
162,glasses_reading.wav,0,546.7446299,546.7446299,989.934273,989.934273,1771.473923,546.7446299,443.1896431,781.5396499
163,glove.wav,0,679.4687367,NA,NA,715.5306606,1354.62809,679.4687367,NA,639.0974291
164,glove_small.wav,0,527.1927206,527.1927206,1171.644948,1289.327528,1912.721088,527.1927206,644.4522269,623.3935603
165,graduationhat.wav,10.29853324,454.3941822,NA,NA,511.4567516,1693.605442,444.0956489,NA,1182.148691
166,graduationhat_small.wav,0,395.6813072,395.6813072,965.7946479,1098.605142,2209.6783,395.6813072,570.1133407,1111.073158
167,grapes_big.wav,8.515069179,497.6396248,584.1146843,986.7641804,1132.690843,1819.086629,489.1245556,402.649496,686.3957852
168,greenbean.wav,8.047245852,578.0050601,NA,NA,640.0412848,1312.746596,569.9578143,NA,672.7053114
169,greenbean_big.wav,16.65459341,468.8283463,563.5953005,902.0487084,1069.921599,1830.76486,452.1737529,338.4534079,760.8432609
170,grill.wav,18.9674225,516.9191798,NA,NA,551.2606803,1058.578301,497.9517573,NA,507.3176211
171,guitar_electric.wav,0,487.9670082,487.9670082,997.403718,1191.196025,1820.839002,487.9670082,509.4367098,629.6429777
172,guitar_small.wav,0,480.8453646,480.8453646,1033.627313,1051.708966,1763.310658,480.8453646,552.7819485,711.601692
173,gumballmachine.wav,10.84911758,651.1861404,NA,NA,716.5266529,1784.14966,640.3370228,NA,1067.623007
174,gumballmachine_big.wav,0,486.1938413,590.5056043,994.7136859,1138.14236,2225.21542,486.1938413,404.2080816,1087.073059
175,gun.wav,20.9156204,482.0616378,NA,NA,555.9632431,972.7682973,461.1460174,NA,416.8050542
