"size","detUsed","mean_surprisal","CI.Low","CI.High"
"big","all",2.67774060765289,0.264620152074009,0.279930055652168
"big","noDet",2.4563017499122,0.0915313378607907,0.0805450067580691
"big","num",0.854500451406014,0.0607055679978026,0.0567163337275223
"big","other",6.30299496417887,1.51508600341516,2.02671447514395
"big","some",3.96501311279631,0.266386230592872,0.264995602482261
"small","all",3.2082093719508,0.238033874313647,0.248083189144417
"small","noDet",2.53688960432344,0.110247667936305,0.124317497338533
"small","num",0.67246532996636,0.0596485363324797,0.0616338531964132
"small","other",5.73959499313204,0.954986736854337,1.52421567327903
"small","some",4.45722204675835,0.443200619585888,0.473480254674184
